,Time,Category,Seasonally_Adj,VS,NO,UO,TI,MPCVS,MPCNO,MPCUO,MPCTI
2859,1997-12,34X,no,10157,9870,25452,11752,43.1,51.8,-1.1,-2.0
2860,1997-12,35S,yes,9372,9555,15425,14082,-5.1,-2.3,1.2,-0.8
2861,1997-12,35S,no,9644,9644,14991,13530,0.1,2.8,0.0,-4.4
2862,1997-12,36S,yes,49598,45579,267439,68604,-2.7,-27.2,-1.5,0.2
2863,1997-12,36S,no,47941,49250,267511,66414,-4.9,-20.5,0.5,-4.6
2864,1997-12,MVP,yes,36316,36673,14267,20717,-2.4,-1.9,2.6,-0.5
2865,1997-12,MVP,no,31914,32596,14236,20298,-12.6,-11.3,5.0,-3.2
2866,1997-12,NAP,yes,6379,3200,143183,30382,-1.1,-82.7,-2.2,-0.5
2867,1997-12,NAP,no,8529,7323,143452,29129,34.0,-59.3,-0.8,-7.4
2868,1997-12,DAP,yes,2157,1608,40842,8600,-17.5,-39.5,-1.3,6.5
2869,1997-12,DAP,no,2543,3030,39941,8380,-9.2,41.5,1.2,3.6
2870,1997-12,ODG,yes,28845,28801,10446,42053,-0.7,-0.3,-0.4,0.4
2871,1997-12,ODG,no,27079,26555,10257,41347,-4.5,-5.7,-4.9,-1.0
2872,1997-12,TCG,yes,67709,62939,360636,137556,1.2,-20.7,-1.3,-0.2
2873,1997-12,TCG,no,76983,76624,359163,132746,19.3,-0.2,-0.1,-5.0
2874,1997-12,NDE,yes,61419,58910,243413,122598,1.7,-20.3,-1.0,0.0
2875,1997-12,NDE,no,70041,67900,241236,117932,21.2,-3.7,-0.9,-5.2
2876,1997-12,NXA,yes,57867,58401,132076,98870,1.3,0.7,0.4,0.1
2877,1997-12,NXA,no,65211,64145,129288,95226,19.5,17.0,-0.8,-4.5
2878,1997-12,DEF,yes,6290,4029,117223,14958,-3.8,-26.8,-1.9,-1.9
2879,1997-12,DEF,no,6942,8724,117927,14814,2.6,39.1,1.5,-3.2
2880,1998-01,MDM,yes,179659,174288,514063,283142,-2.4,0.3,0.1,0.9
2881,1998-01,MDM,no,158479,164391,519838,281467,-14.7,-8.6,2.2,3.0
2882,1998-01,DXT,yes,132641,127262,246616,212289,-1.3,-0.7,0.3,0.1
2883,1998-01,DXT,no,116265,116888,247038,211389,-15.7,-10.5,2.5,2.2
2884,1998-01,DXD,yes,173126,168413,386343,263274,-2.3,-0.4,0.4,0.4
2885,1998-01,DXD,no,153035,157280,389699,261941,-14.1,-7.6,2.6,2.7
2886,1998-01,MTU,yes,124258,125004,514063,226787,-1.8,1.8,0.1,1.1
2887,1998-01,MTU,no,109353,120711,519838,225047,-15.9,-8.0,2.2,3.0
2888,1998-01,31S,yes,14398,14058,26876,22531,1.2,-2.4,-1.2,0.3
2889,1998-01,31S,no,13894,14751,27131,22737,7.1,7.2,3.3,0.0
2890,1998-01,32S,yes,20622,21060,42529,32326,-0.4,-0.3,1.0,-0.3
2891,1998-01,32S,no,18719,19878,42144,32199,-2.1,2.8,2.8,1.3
2892,1998-01,33S,yes,23085,22396,58614,46022,-3.6,-6.3,-1.2,0.2
2893,1998-01,33S,no,20246,21258,58804,45894,-15.6,-8.1,1.8,3.2
2894,1998-01,34S,yes,35563,30554,92505,55388,-4.7,0.5,1.2,0.3
2895,1998-01,34S,no,29310,26215,93021,54551,-35.0,-31.4,2.6,2.8
2896,1998-01,CRP,yes,9348,9340,7319,10991,-2.0,5.3,-0.1,-1.6
2897,1998-01,CRP,no,6998,6990,7319,10636,-45.7,-42.8,-0.1,3.4
2898,1998-01,34X,yes,6463,7533,27067,12352,-12.0,0.5,4.1,1.5
2899,1998-01,34X,no,5039,6603,27016,12276,-50.4,-33.1,6.1,4.5
2900,1998-01,35S,yes,9526,9428,15327,14139,1.6,-1.3,-0.6,0.4
2901,1998-01,35S,no,8035,8472,15428,14011,-16.7,-12.2,2.9,3.6
2902,1998-01,36S,yes,47018,47026,267447,70853,-5.2,3.2,0.0,3.3
2903,1998-01,36S,no,42214,47503,272800,70078,-11.9,-3.5,2.0,5.5
2904,1998-01,MVP,yes,33602,33857,14522,20953,-7.5,-7.7,1.8,1.1
2905,1998-01,MVP,no,31847,32753,15142,20865,-0.2,0.5,6.4,2.8
2906,1998-01,NAP,yes,7243,6840,142780,31173,13.5,113.8,-0.3,2.6
2907,1998-01,NAP,no,5369,7288,145371,30716,-37.1,-0.5,1.3,5.4
2908,1998-01,DAP,yes,2174,2906,41574,9097,0.8,80.7,1.8,5.8
2909,1998-01,DAP,no,1758,3729,41912,8928,-30.9,23.1,4.9,6.5
2910,1998-01,ODG,yes,29447,29766,10765,41883,2.1,3.4,3.1,-0.4
2911,1998-01,ODG,no,26061,26314,10510,41997,-3.8,-0.9,2.5,1.6
2912,1998-01,TCG,yes,66209,66044,360471,139865,-2.2,4.9,0.0,1.7
2913,1998-01,TCG,no,55408,61834,365589,138187,-28.0,-19.3,1.8,4.1
2914,1998-01,NDE,yes,60326,60798,243885,123618,-1.8,3.2,0.2,0.8
2915,1998-01,NDE,no,50445,55592,246383,122113,-28.0,-18.1,2.1,3.5
2916,1998-01,NXA,yes,56289,56811,132598,99100,-2.7,-2.7,0.4,0.2
2917,1998-01,NXA,no,47574,50712,132426,98048,-27.0,-20.9,2.4,3.0
2918,1998-01,DEF,yes,5883,5246,116586,16247,-6.5,30.2,-0.5,8.6
2919,1998-01,DEF,no,4963,6242,119206,16074,-28.5,-28.5,1.1,8.5
2920,1998-02,MDM,yes,188172,181270,513589,285165,4.7,4.0,-0.1,0.7
2921,1998-02,MDM,no,186761,182332,521736,287289,17.8,10.9,0.4,2.1
2922,1998-02,DXT,yes,136763,130630,246911,213138,3.1,2.6,0.1,0.4
2923,1998-02,DXT,no,133238,130198,250325,215224,14.6,11.4,1.3,1.8
2924,1998-02,DXD,yes,180866,175093,386998,264920,4.5,4.0,0.2,0.6
2925,1998-02,DXD,no,179638,176425,392813,267138,17.4,12.2,0.8,2.0
2926,1998-02,MTU,yes,129852,129378,513589,228516,4.5,3.5,-0.1,0.8
2927,1998-02,MTU,no,128594,130492,521736,229665,17.6,8.1,0.4,2.1
2928,1998-02,31S,yes,14759,14299,26416,22286,2.5,1.7,-1.7,-1.1
2929,1998-02,31S,no,15186,15530,27475,22358,9.3,5.3,1.3,-1.7
2930,1998-02,32S,yes,21299,21645,42875,32565,3.3,2.8,0.8,0.7
2931,1998-02,32S,no,21278,22016,42882,32763,13.7,10.8,1.8,1.8
2932,1998-02,33S,yes,23670,23100,58044,46651,2.5,3.1,-1.0,1.4
2933,1998-02,33S,no,23696,24131,59239,47471,17.0,13.5,0.7,3.4
2934,1998-02,34S,yes,37472,31806,93267,55517,5.4,4.1,0.8,0.2
2935,1998-02,34S,no,34786,29850,94412,55794,18.7,13.9,1.5,2.3
2936,1998-02,CRP,yes,9578,9876,7617,10930,2.5,5.7,4.1,-0.6
2937,1998-02,CRP,no,8204,8502,7617,11143,17.2,21.6,4.1,4.8
2938,1998-02,34X,yes,7320,8102,27849,12397,13.3,7.6,2.9,0.4
2939,1998-02,34X,no,6560,7616,28072,12503,30.2,15.3,3.9,1.8
2940,1998-02,35S,yes,9852,10437,15912,14114,3.4,10.7,3.8,-0.2
2941,1998-02,35S,no,9656,10483,16255,14368,20.2,23.7,5.4,2.5
2942,1998-02,36S,yes,51409,50640,266678,72027,9.3,7.7,-0.3,1.7
2943,1998-02,36S,no,53523,52134,271411,72065,26.8,9.7,-0.5,2.8
2944,1998-02,MVP,yes,37146,36992,14368,21106,10.5,9.3,-1.1,0.7
2945,1998-02,MVP,no,39893,39915,15164,21126,25.3,21.9,0.1,1.3
2946,1998-02,NAP,yes,7127,7053,142706,31758,-1.6,3.1,-0.1,1.9
2947,1998-02,NAP,no,6714,5996,144653,31803,25.1,-17.7,-0.5,3.5
2948,1998-02,DAP,yes,2285,2668,41957,9706,5.1,-8.2,0.9,6.7
2949,1998-02,DAP,no,2156,2662,42418,9758,22.6,-28.6,1.2,9.3
2950,1998-02,ODG,yes,29711,29343,10397,42005,0.9,-1.4,-3.4,0.3
2951,1998-02,ODG,no,28636,28188,10062,42470,9.9,7.1,-4.3,1.1
2952,1998-02,TCG,yes,68910,67724,359285,140450,4.1,2.5,-0.3,0.4
2953,1998-02,TCG,no,66037,65365,364917,141304,19.2,5.7,-0.2,2.3
2954,1998-02,NDE,yes,62229,62636,244292,124356,3.2,3.0,0.2,0.6
2955,1998-02,NDE,no,59443,60746,247686,125356,17.8,9.3,0.5,2.7
2956,1998-02,NXA,yes,58384,59362,133576,99769,3.7,4.5,0.7,0.7
2957,1998-02,NXA,no,55869,58520,135077,100721,17.4,15.4,2.0,2.7
2958,1998-02,DEF,yes,6681,5088,114993,16094,13.6,-3.0,-1.4,-0.9
2959,1998-02,DEF,no,6594,4619,117231,15948,32.9,-26.0,-1.7,-0.8
2960,1998-03,MDM,yes,187912,176886,508657,286370,-0.1,-2.4,-1.0,0.4
2961,1998-03,MDM,no,203671,193649,517986,285085,9.1,6.2,-0.7,-0.8
2962,1998-03,DXT,yes,136821,128771,244955,213637,0.0,-1.4,-0.8,0.2
2963,1998-03,DXT,no,147892,140080,248785,212655,11.0,7.6,-0.6,-1.2
2964,1998-03,DXD,yes,181110,171668,383650,265851,0.1,-2.0,-0.9,0.4
2965,1998-03,DXD,no,196348,186536,389273,264667,9.3,5.7,-0.9,-0.9
2966,1998-03,MTU,yes,129755,124823,508657,229135,-0.1,-3.5,-1.0,0.3
2967,1998-03,MTU,no,141420,137670,517986,227884,10.0,5.5,-0.7,-0.8
2968,1998-03,31S,yes,14471,13946,25891,22179,-2.0,-2.5,-2.0,-0.5
2969,1998-03,31S,no,15157,14829,27147,22046,-0.2,-4.5,-1.2,-1.4
2970,1998-03,32S,yes,21188,21318,43005,32560,-0.5,-1.5,0.3,0.0
2971,1998-03,32S,no,21909,22246,43219,32908,3.0,1.0,0.8,0.4
2972,1998-03,33S,yes,24213,23909,57740,46715,2.3,3.5,-0.5,0.1
2973,1998-03,33S,no,27211,26895,58923,46859,14.8,11.5,-0.5,-1.3
2974,1998-03,34S,yes,37285,30954,93030,55916,-0.5,-2.7,-0.3,0.7
2975,1998-03,34S,no,42542,36124,94266,54433,22.3,21.0,-0.2,-2.4
2976,1998-03,CRP,yes,9798,9571,7390,10835,2.3,-3.1,-3.0,-0.9
2977,1998-03,CRP,no,12902,12675,7390,10184,57.3,49.1,-3.0,-8.6
2978,1998-03,34X,yes,7157,7800,28492,12390,-2.2,-3.7,2.3,-0.1
2979,1998-03,34X,no,8110,9002,28964,12117,23.6,18.2,3.2,-3.1
2980,1998-03,35S,yes,9681,9164,15395,14144,-1.7,-12.2,-3.2,0.2
2981,1998-03,35S,no,10385,9820,15690,14244,7.5,-6.3,-3.5,-0.9
2982,1998-03,36S,yes,51091,48115,263702,72733,-0.6,-5.0,-1.1,1.0
2983,1998-03,36S,no,55779,53569,269201,72430,4.2,2.8,-0.8,0.5
2984,1998-03,MVP,yes,37120,37183,14431,21424,-0.1,0.5,0.4,1.5
2985,1998-03,MVP,no,40041,39980,15103,21524,0.4,0.2,-0.4,1.9
2986,1998-03,NAP,yes,7219,6359,141846,31861,1.3,-9.8,-0.6,0.3
2987,1998-03,NAP,no,8257,7264,143660,31567,23.0,21.1,-0.7,-0.7
2988,1998-03,DAP,yes,2218,1340,41079,9966,-2.9,-49.8,-2.1,2.7
2989,1998-03,DAP,no,2341,2204,42281,10081,8.6,-17.2,-0.3,3.3
2990,1998-03,ODG,yes,29983,29480,9894,42123,0.9,0.5,-4.8,0.3
2991,1998-03,ODG,no,30688,30166,9540,42165,7.2,7.0,-5.2,-0.7
2992,1998-03,TCG,yes,68928,64464,354821,141395,0.0,-4.8,-1.2,0.7
2993,1998-03,TCG,no,78215,74783,361485,139673,18.4,14.4,-0.9,-1.2
2994,1998-03,NDE,yes,62870,60377,241799,125013,1.0,-3.6,-1.0,0.5
2995,1998-03,NDE,no,71709,69172,245149,123507,20.6,13.9,-1.0,-1.5
2996,1998-03,NXA,yes,59052,57672,132196,100039,1.1,-2.8,-1.0,0.3
2997,1998-03,NXA,no,67166,65995,133906,98853,20.2,12.8,-0.9,-1.9
2998,1998-03,DEF,yes,6058,4087,113022,16382,-9.3,-19.7,-1.7,1.8
2999,1998-03,DEF,no,6506,5611,116336,16166,-1.3,21.5,-0.8,1.4
3000,1998-04,MDM,yes,184654,180915,510809,288019,-1.7,2.3,0.4,0.6
3001,1998-04,MDM,no,183084,178239,518541,289008,-10.1,-8.0,0.1,1.4
3002,1998-04,DXT,yes,133872,126519,243493,213952,-2.2,-1.7,-0.6,0.1
3003,1998-04,DXT,no,130717,124334,247802,215203,-11.6,-11.2,-0.4,1.2
3004,1998-04,DXD,yes,177528,173267,385280,267382,-2.0,0.9,0.4,0.6
3005,1998-04,DXD,no,176268,170911,389316,268403,-10.2,-8.4,0.0,1.4
3006,1998-04,MTU,yes,127177,129329,510809,231228,-2.0,3.6,0.4,0.9
3007,1998-04,MTU,no,125545,126100,518541,231905,-11.2,-8.4,0.1,1.8
3008,1998-04,31S,yes,14302,13800,25389,22316,-1.2,-1.0,-1.9,0.6
3009,1998-04,31S,no,14876,14193,26464,22136,-1.9,-4.3,-2.5,0.4
3010,1998-04,32S,yes,20934,21524,43595,32777,-1.2,1.0,1.4,0.7
3011,1998-04,32S,no,21089,21865,43995,33178,-3.7,-1.7,1.8,0.8
3012,1998-04,33S,yes,23267,22388,56861,46671,-3.9,-6.4,-1.5,-0.1
3013,1998-04,33S,no,24281,23687,58329,47037,-10.8,-11.9,-1.0,0.4
3014,1998-04,34S,yes,36491,30361,92791,55818,-2.1,-1.9,-0.3,-0.2
3015,1998-04,34S,no,31921,26300,94045,56110,-25.0,-27.2,-0.2,3.1
3016,1998-04,CRP,yes,9525,9628,7493,10817,-2.8,0.6,1.4,-0.2
3017,1998-04,CRP,no,7414,7517,7493,10876,-42.5,-40.7,1.4,6.8
3018,1998-04,34X,yes,6894,6804,28402,12467,-3.7,-12.8,-0.3,0.6
3019,1998-04,34X,no,5881,5749,28832,12549,-27.5,-36.1,-0.5,3.6
3020,1998-04,35S,yes,9493,9564,15466,14034,-1.9,4.4,0.5,-0.8
3021,1998-04,35S,no,9228,9231,15693,14307,-11.1,-6.0,0.0,0.4
3022,1998-04,36S,yes,50782,54396,267316,74067,-0.6,13.1,1.4,1.8
3023,1998-04,36S,no,52367,53905,270739,73805,-6.1,0.6,0.6,1.9
3024,1998-04,MVP,yes,36518,36464,14377,21071,-1.6,-1.9,-0.4,-1.6
3025,1998-04,MVP,no,38620,38166,14649,20940,-3.5,-4.5,-3.0,-2.7
3026,1998-04,NAP,yes,7419,10561,144988,33411,2.8,66.1,2.2,4.9
3027,1998-04,NAP,no,7201,8628,145087,33291,-12.8,18.8,1.0,5.5
3028,1998-04,DAP,yes,2298,3046,41827,10085,3.6,127.3,1.8,1.2
3029,1998-04,DAP,no,2096,3319,43504,10153,-10.5,50.6,2.9,0.7
3030,1998-04,ODG,yes,29385,28882,9391,42336,-2.0,-2.0,-5.1,0.5
3031,1998-04,ODG,no,29322,29058,9276,42435,-4.5,-3.7,-2.8,0.6
3032,1998-04,TCG,yes,67449,69826,357198,143610,-2.1,8.3,0.7,1.6
3033,1998-04,TCG,no,63677,64389,362197,144025,-18.6,-13.9,0.2,3.1
3034,1998-04,NDE,yes,61013,63252,244038,126964,-3.0,4.8,0.9,1.6
3035,1998-04,NDE,no,57479,58444,246114,127479,-19.8,-15.5,0.4,3.2
3036,1998-04,NXA,yes,57168,55909,130937,100236,-3.2,-3.1,-1.0,0.2
3037,1998-04,NXA,no,53659,52884,133131,100919,-20.1,-19.9,-0.6,2.1
3038,1998-04,DEF,yes,6436,6574,113160,16646,6.2,60.9,0.1,1.6
3039,1998-04,DEF,no,6198,5945,116083,16546,-4.7,6.0,-0.2,2.4
3040,1998-05,MDM,yes,185928,180634,511034,288944,0.7,-0.2,0.0,0.3
3041,1998-05,MDM,no,183534,175154,515313,291635,0.2,-1.7,-0.6,0.9
3042,1998-05,DXT,yes,134501,129740,244251,213616,0.5,2.5,0.3,-0.2
3043,1998-05,DXT,no,131090,125526,247390,216383,0.3,1.0,-0.2,0.5
3044,1998-05,DXD,yes,179078,175262,386983,267866,0.9,1.2,0.4,0.2
3045,1998-05,DXD,no,176795,171606,389279,270479,0.3,0.4,0.0,0.8
3046,1998-05,MTU,yes,127864,128089,511034,232175,0.5,-1.0,0.0,0.4
3047,1998-05,MTU,no,125985,122757,515313,234216,0.4,-2.7,-0.6,1.0
3048,1998-05,31S,yes,14164,13758,24983,22225,-1.0,-0.3,-1.6,-0.4
3049,1998-05,31S,no,14412,13682,25734,22185,-3.1,-3.6,-2.8,0.2
3050,1998-05,32S,yes,21267,21131,43459,32734,1.6,-1.8,-0.3,-0.1
3051,1998-05,32S,no,21397,21348,43946,33076,1.5,-2.4,-0.1,-0.3
3052,1998-05,33S,yes,23885,23232,56208,46650,2.7,3.8,-1.1,0.0
3053,1998-05,33S,no,23934,22947,57342,47194,-1.4,-3.1,-1.7,0.3
3054,1998-05,34S,yes,36058,31964,94216,55616,-1.2,5.3,1.5,-0.4
3055,1998-05,34S,no,32840,28617,94974,56778,2.9,8.8,1.0,1.2
3056,1998-05,CRP,yes,9585,9893,7801,10393,0.6,2.8,4.1,-3.9
3057,1998-05,CRP,no,7918,8226,7801,10950,6.8,9.4,4.1,0.7
3058,1998-05,34X,yes,6999,8637,30040,12464,1.5,26.9,5.8,0.0
3059,1998-05,34X,no,6455,8036,30413,12736,9.8,39.8,5.5,1.5
3060,1998-05,35S,yes,9639,9692,15519,13888,1.5,1.3,0.3,-1.0
3061,1998-05,35S,no,9334,9186,15545,14276,1.1,-0.5,-0.9,-0.2
3062,1998-05,36S,yes,51427,50894,266783,75328,1.3,-6.4,-0.2,1.7
3063,1998-05,36S,no,52444,49628,267923,75252,0.1,-7.9,-1.0,2.0
3064,1998-05,MVP,yes,37766,38197,14808,21004,3.4,4.8,3.0,-0.3
3065,1998-05,MVP,no,38824,38855,14680,20902,0.5,1.8,0.2,-0.2
3066,1998-05,NAP,yes,6971,7861,145878,34253,-6.0,-25.6,0.6,2.5
3067,1998-05,NAP,no,6959,7433,145561,34191,-3.4,-13.9,0.3,2.7
3068,1998-05,DAP,yes,2252,2261,41836,10499,-2.0,-25.8,0.0,4.1
3069,1998-05,DAP,no,2200,1565,42869,10606,5.0,-52.8,-1.5,4.5
3070,1998-05,ODG,yes,29488,29963,9866,42503,0.4,3.7,5.1,0.4
3071,1998-05,ODG,no,29173,29746,9849,42874,-0.5,2.4,6.2,1.0
3072,1998-05,TCG,yes,67768,67769,357199,144492,0.5,-2.9,0.0,0.6
3073,1998-05,TCG,no,64737,62616,360076,146075,1.7,-2.8,-0.6,1.4
3074,1998-05,NDE,yes,61528,63558,246068,127486,0.8,0.5,0.8,0.4
3075,1998-05,NDE,no,58589,59987,247512,129098,1.9,2.6,0.6,1.3
3076,1998-05,NXA,yes,57823,58575,131689,99806,1.1,4.8,0.6,-0.4
3077,1998-05,NXA,no,54764,54982,133349,101609,2.1,4.0,0.2,0.7
3078,1998-05,DEF,yes,6240,4211,111131,17006,-3.0,-35.9,-1.8,2.2
3079,1998-05,DEF,no,6148,2629,112564,16977,-0.8,-55.8,-3.0,2.6
3080,1998-06,MDM,yes,179960,172189,509293,290110,-3.2,-4.7,-0.3,0.4
3081,1998-06,MDM,no,199706,187991,510048,288155,8.8,7.3,-1.0,-1.2
3082,1998-06,DXT,yes,135674,130048,244655,213525,0.9,0.2,0.2,0.0
3083,1998-06,DXT,no,150904,142539,245475,212659,15.1,13.6,-0.8,-1.7
3084,1998-06,DXD,yes,173370,166768,386411,268954,-3.2,-4.8,-0.1,0.4
3085,1998-06,DXD,no,192569,183145,386305,267017,8.9,6.7,-0.8,-1.3
3086,1998-06,MTU,yes,125653,123912,509293,233613,-1.7,-3.3,-0.3,0.6
3087,1998-06,MTU,no,139333,134068,510048,232124,10.6,9.2,-1.0,-0.9
3088,1998-06,31S,yes,13704,13333,24612,22406,-3.2,-3.1,-1.5,0.8
3089,1998-06,31S,no,14492,13567,24809,22162,0.6,-0.8,-3.6,-0.1
3090,1998-06,32S,yes,21064,21308,43703,33219,-1.0,0.8,0.6,1.5
3091,1998-06,32S,no,22662,22858,44142,33425,5.9,7.1,0.4,1.1
3092,1998-06,33S,yes,24042,23698,55864,46750,0.7,2.0,-0.6,0.2
3093,1998-06,33S,no,26766,25313,55889,46299,11.8,10.3,-2.5,-1.9
3094,1998-06,34S,yes,37292,31647,94601,55029,3.4,-1.0,0.4,-1.1
3095,1998-06,34S,no,43702,37240,94962,54775,33.1,30.1,0.0,-3.5
3096,1998-06,CRP,yes,10040,10088,7849,10190,4.7,2.0,0.6,-2.0
3097,1998-06,CRP,no,13517,13565,7849,9973,70.7,64.9,0.6,-8.9
3098,1998-06,34X,yes,7195,7514,30359,12347,2.8,-13.0,1.1,-0.9
3099,1998-06,34X,no,8586,8648,30475,12156,33.0,7.6,0.2,-4.6
3100,1998-06,35S,yes,9507,9622,15634,13857,-1.4,-0.7,0.7,-0.2
3101,1998-06,35S,no,10673,10614,15486,13816,14.3,15.5,-0.4,-3.2
3102,1998-06,36S,yes,44286,42141,264638,76585,-13.9,-17.2,-0.8,1.7
3103,1998-06,36S,no,48802,45452,264573,75496,-6.9,-8.4,-1.3,0.3
3104,1998-06,MVP,yes,30705,30475,14578,21207,-18.7,-20.2,-1.6,1.0
3105,1998-06,MVP,no,33595,33270,14355,20792,-13.5,-14.4,-2.2,-0.5
3106,1998-06,NAP,yes,6939,6599,145538,35332,-0.5,-16.1,-0.2,3.2
3107,1998-06,NAP,no,7849,7471,145183,34762,12.8,0.5,-0.3,1.7
3108,1998-06,DAP,yes,1865,669,40640,10560,-17.2,-70.4,-2.9,0.6
3109,1998-06,DAP,no,2050,428,41247,10587,-6.8,-72.7,-3.8,-0.2
3110,1998-06,ODG,yes,30065,30440,10241,42264,2.0,1.6,3.8,-0.6
3111,1998-06,ODG,no,32609,32947,10187,42182,11.8,10.8,3.4,-1.6
3112,1998-06,TCG,yes,68712,67955,356442,145138,1.4,0.3,-0.2,0.4
3113,1998-06,TCG,no,79424,75905,356557,143839,22.7,21.2,-1.0,-1.5
3114,1998-06,NDE,yes,62772,62716,246012,127930,2.0,-1.3,0.0,0.3
3115,1998-06,NDE,no,73046,71352,245818,126676,24.7,18.9,-0.7,-1.9
3116,1998-06,NXA,yes,58851,59020,131858,99430,1.8,0.8,0.1,-0.4
3117,1998-06,NXA,no,68387,67063,132025,98721,24.9,22.0,-1.0,-2.8
3118,1998-06,DEF,yes,5940,5239,110430,17208,-4.8,24.4,-0.6,1.2
3119,1998-06,DEF,no,6378,4553,110739,17163,3.7,73.2,-1.6,1.1
3120,1998-07,MDM,yes,178098,170459,507842,290075,-1.0,-1.0,-0.3,0.0
3121,1998-07,MDM,no,154236,145785,506978,291884,-22.8,-22.5,-0.6,1.3
3122,1998-07,DXT,yes,133742,126102,243203,213210,-1.4,-3.0,-0.6,-0.1
3123,1998-07,DXT,no,122113,115722,244465,214476,-19.1,-18.8,-0.4,0.9
3124,1998-07,DXD,yes,171449,164656,385806,268286,-1.1,-1.3,-0.2,-0.2
3125,1998-07,DXD,no,148269,142283,385700,269832,-23.0,-22.3,-0.2,1.1
3126,1998-07,MTU,yes,123541,122090,507842,233625,-1.7,-1.5,-0.3,0.0
3127,1998-07,MTU,no,108600,105530,506978,235276,-22.1,-21.3,-0.6,1.4
3128,1998-07,31S,yes,13594,12751,23769,22511,-0.8,-4.4,-3.4,0.5
3129,1998-07,31S,no,12386,11549,23972,22535,-14.5,-14.9,-3.4,1.7
3130,1998-07,32S,yes,21218,21032,43517,32985,0.7,-1.3,-0.4,-0.7
3131,1998-07,32S,no,19938,20141,44345,33335,-12.0,-11.9,0.5,-0.3
3132,1998-07,33S,yes,23233,23061,55692,47038,-3.4,-2.7,-0.3,0.6
3133,1998-07,33S,no,21145,20791,55535,46900,-21.0,-17.9,-0.6,1.3
3134,1998-07,34S,yes,36216,30003,94576,54284,-2.9,-5.2,0.0,-1.4
3135,1998-07,34S,no,30796,24982,94529,55296,-29.5,-32.9,-0.5,1.0
3136,1998-07,CRP,yes,9296,9430,7983,9842,-7.4,-6.5,1.7,-3.4
3137,1998-07,CRP,no,7400,7534,7983,10090,-45.3,-44.5,1.7,1.2
3138,1998-07,34X,yes,6782,6473,30050,12343,-5.7,-13.9,-1.0,0.0
3139,1998-07,34X,no,5665,5134,29944,12471,-34.0,-40.6,-1.7,2.6
3140,1998-07,35S,yes,9643,9299,15290,13887,1.4,-3.4,-2.2,0.2
3141,1998-07,35S,no,8755,8699,15430,13925,-18.0,-18.0,-0.4,0.8
3142,1998-07,36S,yes,44356,44357,264639,76865,0.2,5.3,0.0,0.4
3143,1998-07,36S,no,32123,30063,262513,77408,-34.2,-33.9,-0.8,2.5
3144,1998-07,MVP,yes,30518,30367,14427,20715,-0.6,-0.4,-1.0,-2.3
3145,1998-07,MVP,no,20534,20365,14186,21079,-38.9,-38.8,-1.2,1.4
3146,1998-07,NAP,yes,7358,8161,146341,35471,6.0,23.7,0.6,0.4
3147,1998-07,NAP,no,6071,5962,145074,35420,-22.7,-20.2,-0.1,1.9
3148,1998-07,DAP,yes,2031,1796,40405,10994,8.9,168.5,-0.6,4.1
3149,1998-07,DAP,no,1778,1197,40666,11080,-13.3,179.7,-1.4,4.7
3150,1998-07,ODG,yes,29838,29956,10359,42505,-0.8,-1.6,1.2,0.6
3151,1998-07,ODG,no,29093,29560,10654,42485,-10.8,-10.3,4.6,0.7
3152,1998-07,TCG,yes,67016,66452,355878,145855,-2.5,-2.2,-0.2,0.5
3153,1998-07,TCG,no,58922,56131,353766,146786,-25.8,-26.1,-0.8,2.0
3154,1998-07,NDE,yes,61033,61303,246282,128018,-2.8,-2.3,0.1,0.1
3155,1998-07,NDE,no,53519,52838,245137,128772,-26.7,-25.9,-0.3,1.7
3156,1998-07,NXA,yes,56990,56670,131538,99265,-3.2,-4.0,-0.2,-0.2
3157,1998-07,NXA,no,50353,50247,131919,99971,-26.4,-25.1,-0.1,1.3
3158,1998-07,DEF,yes,5983,5149,109596,17837,0.7,-1.7,-0.8,3.7
3159,1998-07,DEF,no,5403,3293,108629,18014,-15.3,-27.7,-1.9,5.0
3160,1998-08,MDM,yes,184540,179033,508658,290817,3.6,5.0,0.2,0.3
3161,1998-08,MDM,no,182302,173662,504721,294309,18.2,19.1,-0.4,0.8
3162,1998-08,DXT,yes,133372,126589,242743,213259,-0.3,0.4,-0.2,0.0
3163,1998-08,DXT,no,131481,122479,241846,215433,7.7,5.8,-1.1,0.4
3164,1998-08,DXD,yes,177447,173292,387974,269016,3.5,5.2,0.6,0.3
3165,1998-08,DXD,no,175480,169912,386515,272239,18.4,19.4,0.2,0.9
3166,1998-08,MTU,yes,126842,127658,508658,234432,2.7,4.6,0.2,0.3
3167,1998-08,MTU,no,124430,122173,504721,237361,14.6,15.8,-0.4,0.9
3168,1998-08,31S,yes,13782,13363,23350,22514,1.4,4.8,-1.8,0.0
3169,1998-08,31S,no,13777,13119,23314,22601,11.2,13.6,-2.7,0.3
3170,1998-08,32S,yes,21180,20724,43061,33065,-0.2,-1.5,-1.0,0.2
3171,1998-08,32S,no,21662,20891,43574,33126,8.6,3.7,-1.7,-0.6
3172,1998-08,33S,yes,22774,22853,55771,47353,-2.0,-0.9,0.1,0.7
3173,1998-08,33S,no,21363,21033,55205,47587,1.0,1.2,-0.6,1.5
3174,1998-08,34S,yes,36104,29964,94759,53949,-0.3,-0.1,0.2,-0.6
3175,1998-08,34S,no,34407,27150,93655,55579,11.7,8.7,-0.9,0.5
